Product,Description,MedDRA Preferred Terms
mama julias spicy pork tamales, Mult Food Dinner/Grav/Sauce/Special,"MALAISE, FOOD POISONING"
mama lupes tortilla chips, Snack Food Item,"PAIN IN EXTREMITY, LACRIMATION INCREASED, HYPOAESTHESIA"
mama oriental style instant shrimp with noodles, Macaroni/Noodle Prod,"VOMITING, MALAISE, DIARRHOEA, ABDOMINAL PAIN"
mama tere arepa de chocolo sweet corn patty, Whole Grain/Milled Grain Prod/Starch,"VOMITING, URTICARIA, HYPERSENSITIVITY, DYSPNOEA"
mama tishs premium italian ices, Ice Cream Prod,"URTICARIA, URTICARIA, URTICARIA"
mambas candy, Candy W/O Choc/Special/Chew Gum,"OROPHARYNGEAL PAIN, HYPERSENSITIVITY"
mambicheese white soft cheese, Cheese/Cheese Prod,"VOMITING, DIARRHOEA, ABDOMINAL PAIN, VOMITING, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
manchos potato chips, Snack Food Item,NAUSEA
mandarin orange sections, Fruit/Fruit Prod,MOUTH INJURY
mandarin oranges, Fruit/Fruit Prod,"RASH MACULAR, RASH, DYSGEUSIA, BURNING SENSATION, PARAESTHESIA ORAL, Pain, Malaise, Flatulence"
mandys old fashioned confections, Candy W/O Choc/Special/Chew Gum,"TOOTHACHE, TOOTH FRACTURE, MASTICATION DISORDER"
mango, Fruit/Fruit Prod,"VOMITING, DIARRHOEA, AMOEBIASIS, DIARRHOEA, DIARRHOEA, URTICARIA, RASH, PRURITUS, RASH, DERMATITIS CONTACT"
mango and fruit punch spark packets, Beverage Bases/Conc/Nectar,"RASH MACULO-PAPULAR, PHARYNGEAL OEDEMA, OROPHARYNGEAL PAIN, NAUSEA, HYPERSENSITIVITY, DYSPHONIA"
mango and fruit punch spark packets, Soft Drink/Water,"URTICARIA, THROAT TIGHTNESS, OROPHARYNGEAL PAIN, NAUSEA, HYPERSENSITIVITY, FEELING HOT, DYSPHONIA"
mango k best fresh mangos, Fruit/Fruit Prod,"HEADACHE, FLUSHING, FEELING HOT, EMOTIONAL DISORDER, DIARRHOEA"
mango salad, Fruit/Fruit Prod,"THROAT IRRITATION, STOMATITIS, ORAL DISCOMFORT, DYSGEUSIA"
mangosteen, Fruit/Fruit Prod,ABDOMINAL PAIN
manischewitz all natural chicken broth, Soup,"VOMITING, DIARRHOEA, ABDOMINAL PAIN"
manischewitz coconut macaroons, Bakery Prod/Dough/Mix/Icing,CHOKING
manischewitz magic maxs fruity magic cereal, Cereal Prep/Breakfast Food,MALAISE
mann packing company inc broccoli, Vegetables/Vegetable Products,"NAUSEA, ABDOMINAL PAIN"
mann stir fry, Vegetables/Vegetable Products,"Vomiting, Listeriosis"
mannatech incorporated glycolean body system  glycoslim meal replacement  french vanilla, Dietary Conventional Foods/Meal Replacements,"THROMBOSIS, PULMONARY EMBOLISM, NAUSEA, KETOACIDOSIS, HYPERHIDROSIS, HIATUS HERNIA, HERNIA, HEART RATE INCREASED, DYSPNOEA, DEEP VEIN THROMBOSIS"
mannatech incorporated glycolean body system  glycoslim meal replacement drink mix  chocolate, Dietary Conventional Foods/Meal Replacements,"THROMBOSIS, PULMONARY EMBOLISM, NAUSEA, KETOACIDOSIS, HYPERHIDROSIS, HIATUS HERNIA, HERNIA, HEART RATE INCREASED, DYSPNOEA, DEEP VEIN THROMBOSIS"
mannitol, Food Additives (Human Use),"Flatulence, Diarrhoea, Dehydration, Circulatory collapse, Asthenia, Abdominal pain, Abdominal distension, Abdominal discomfort"
manns nourish bowls bacon maple brussels, Mult Food Dinner/Grav/Sauce/Special,"Pyrexia, Malaise, Gastrointestinal disorder, Malaise, Listeriosis, Gastrointestinal disorder"
manns romaine hearts, Vegetables/Vegetable Products,"Food poisoning, Eructation, Diarrhoea, Abdominal pain upper, Abdominal discomfort"
manns snacking favorites veggie ranch, Vegetables/Vegetable Products,"Migraine, Lethargy"
manns stir fry, Vegetables/Vegetable Products,"Vomiting, Pyrexia, Listeriosis, Vomiting, Listeriosis, Vomiting, Pyrexia, Listeriosis, Vomiting, Listeriosis"
manns sunny shore romaine hearts, Vegetables/Vegetable Products,"VOMITING, TREMOR, PYREXIA, HYPERHIDROSIS, HEADACHE, DIARRHOEA"
manns sunny shores broccoli wokly raw broccoli, Vegetables/Vegetable Products,"VOMITING, NAUSEA, DIARRHOEA, NAUSEA, ABDOMINAL PAIN UPPER"
manns vegetables, Vegetables/Vegetable Products,"Vomiting, Diarrhoea"
manuka health active umf plus 20 honey, Food Sweeteners (Nutritive),"SWELLING, RENAL PAIN, MUSCULOSKELETAL STIFFNESS, MUSCLE SPASMS, HYPERSENSITIVITY, BLOOD PRESSURE INCREASED"
manuka honey, Food Sweeteners (Nutritive),GRAND MAL CONVULSION
maola black walnut ice cream, Ice Cream Prod,VOMITING
maple brown sugar instant cream of wheat, Cereal Prep/Breakfast Food,"VOMITING, DIARRHOEA, ABDOMINAL PAIN"
maple cream cookies, Bakery Prod/Dough/Mix/Icing,Neck pain
maple grove farms of vermont buttermilk pancake and waffle mix, Bakery Prod/Dough/Mix/Icing,"RASH ERYTHEMATOUS, RASH, PARAESTHESIA ORAL, PARAESTHESIA, FEELING OF BODY TEMPERATURE CHANGE, FEELING HOT"
maple grove farms organic 100percent pure maple syrup, Food Sweeteners (Nutritive),"DIARRHOEA, ABDOMINAL PAIN"
maple grove vermont candy, Candy W/O Choc/Special/Chew Gum,"HYPERSENSITIVITY, ECZEMA"
maple leaf blueberry muffin, Bakery Prod/Dough/Mix/Icing,"VOMITING, MALAISE, DIARRHOEA, ABDOMINAL PAIN"
maple syrup, Food Sweeteners (Nutritive),"RASH ERYTHEMATOUS, RASH, PARAESTHESIA ORAL, PARAESTHESIA, FEELING OF BODY TEMPERATURE CHANGE, FEELING HOT"
mara natha foods all natural raw almond butter, Nuts/Edible Seed,"VOMITING, NAUSEA, MALAISE, INFLUENZA LIKE ILLNESS, HEADACHE"
maranatha all natural almond butter, Nuts/Edible Seed,"VOMITING, PAIN, MALAISE, HEADACHE, FATIGUE, DIARRHOEA, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN"
maranatha all natural almond butter crunchy, Nuts/Edible Seed,"NAUSEA, MALAISE, ABDOMINAL PAIN"
maranatha all natural dark chocolate almond spread, Nuts/Edible Seed,NAUSEA
maranatha all natural no stir almond butter crunchy, Nuts/Edible Seed,"RETCHING, PAIN, NAUSEA, MALAISE, HYPERHIDROSIS, HAEMATOCHEZIA, FEELING OF BODY TEMPERATURE CHANGE, DRY MOUTH, DIZZINESS, DIARRHOEA, CHILLS, BODY TEMPERATURE INCREASED, ARTHRALGIA, ABDOMINAL PAIN"
maranatha all natural no stir raw maple almond butter, Nuts/Edible Seed,"PYREXIA, NAUSEA, MALAISE, DIARRHOEA"
maranatha almond butter, Milk/Butter/Dried Milk Prod,"VISION BLURRED, SKIN DISORDER, MUSCULAR WEAKNESS, FATIGUE, ARTHRALGIA, ABDOMINAL PAIN LOWER"
maranatha almond butter, Nuts/Edible Seed,"VOMITING, ABDOMINAL PAIN, VOMITING, MALAISE, DIARRHOEA, CHILLS, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN, Vomiting, Visual impairment, Salmonellosis, Pyrexia, Muscle spasms, Hyperhidrosis, Headache, Diarrhoea, Aphagia, Abdominal pain upper, NAUSEA, MALAISE, FLUSHING, FATIGUE, DIVERTICULITIS, DIARRHOEA, NAUSEA, MYALGIA, MALAISE, FATIGUE, ABDOMINAL PAIN UPPER, WEIGHT DECREASED, URINARY TRACT INFECTION, NERVOUSNESS, INFECTION, DYSSTASIA, DEHYDRATION, DECREASED APPETITE, BLOOD PRESSURE DECREASED, ASTHENIA, ACTIVITIES OF DAILY LIVING IMPAIRED, WEIGHT DECREASED, VISION BLURRED, TREMOR, SKIN DISORDER, PARAESTHESIA, PARAESTHESIA, PANCREATIC DISORDER, MUSCULAR WEAKNESS, MUSCULAR WEAKNESS, HEADACHE, GASTROINTESTINAL INFLAMMATION, FATIGUE, DIZZINESS, BALANCE DISORDER, ARTHRALGIA, ABDOMINAL PAIN LOWER, VOMITING, DIARRHOEA, ABDOMINAL PAIN"
maranatha almond butter all natural no stir raw, Nuts/Edible Seed,"TENDERNESS, SLEEP DISORDER, PARAESTHESIA, NERVOUS SYSTEM DISORDER, NERVE ROOT LESION, MALAISE, LETHARGY, ATRIAL FIBRILLATION"
maranatha natural no stir creamy almond butter, Nuts/Edible Seed,"DRUG EFFECT PROLONGED, DIARRHOEA, ASTHENIA, ABDOMINAL PAIN"
maranatha natural roasted sesame tahini creamy with salt, Nuts/Edible Seed,"NAUSEA, MALAISE, DIARRHOEA, ABDOMINAL PAIN"
maranatha no stir crunchy almond butter, Nuts/Edible Seed,"NAUSEA, HEADACHE, DIZZINESS, DISORIENTATION, DIARRHOEA, MALAISE, LETHARGY, DIARRHOEA, ABDOMINAL PAIN, SALMONELLOSIS, PYREXIA, PYREXIA, LIVER FUNCTION TEST ABNORMAL, HEADACHE, GASTRITIS BACTERIAL, DIARRHOEA HAEMORRHAGIC, DIARRHOEA, DECREASED APPETITE, ABDOMINAL PAIN"
maranatha organic creamy peanut butter, Nuts/Edible Seed,"Nausea, Malaise, Diarrhoea, Abdominal pain"
maranatha organic creamy roasted peanut butter, Nuts/Edible Seed,"MALAISE, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
maranatha organic no stir peanut butter creamy, Nuts/Edible Seed,"VOMITING, MALAISE, DIARRHOEA"
maranatha peanut butter, Nuts/Edible Seed,PRURITUS
maranatha peanut butter organic crunchy, Nuts/Edible Seed,DYSPEPSIA
maranatha raw almond butter, Nuts/Edible Seed,"MALAISE, LETHARGY, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, DECREASED APPETITE, APPETITE DISORDER, ABDOMINAL PAIN, NAUSEA, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, APPETITE DISORDER, ABDOMINAL PAIN, ABDOMINAL PAIN"
maranatha raw maple almond butter all natural no stir, Nuts/Edible Seed,"NAUSEA, MALAISE, DIARRHOEA"
maranatha roasted cashew butter, Nuts/Edible Seed,"MALAISE, HEADACHE"
maranatha roasted creamy almond butter, Nuts/Edible Seed,"PARAESTHESIA, MUSCULAR WEAKNESS, MALAISE, INFLAMMATION, FATIGUE, ARTHRALGIA, VOMITING, SOCIAL AVOIDANT BEHAVIOUR, SOCIAL AVOIDANT BEHAVIOUR, SALMONELLOSIS, NAUSEA, HYPERHIDROSIS, FEELING OF BODY TEMPERATURE CHANGE, DIZZINESS, DIARRHOEA, CHILLS, APPETITE DISORDER, ABDOMINAL PAIN"
maranathas organic roasted almond butter, Nuts/Edible Seed,SALMONELLOSIS
marble cake with white icing, Bakery Prod/Dough/Mix/Icing,"URTICARIA, ERUCTATION, DYSPEPSIA, DYSGEUSIA"
marco polo caponata, Vegetables/Vegetable Products,LACERATION
marcum garlic salt," Spices, Flavors And Salts","VOMITING, ABDOMINAL PAIN"
marcus brothers el mexicano premium quality rice, Whole Grain/Milled Grain Prod/Starch,"RASH, PRURITUS, RASH, PRURITUS, HYPERSENSITIVITY, RASH, PRURITUS, RASH, PRURITUS"
marcus produce baby green and red romaine lettuce, Vegetables/Vegetable Products,"THROAT TIGHTNESS, SWELLING, HEADACHE, EAR PAIN, DYSPNOEA, BURNING SENSATION"
mareblu natural blueberry pomegranate trail mix, Nuts/Edible Seed,TOOTH INJURY
mareblu natural blueberry pomegranate trail mix crunch, Candy W/O Choc/Special/Chew Gum,NAUSEA
mareblu natural granola trail mix crunch bar, Cereal Prep/Breakfast Food,NAUSEA
mareli traditional candies, Candy W/O Choc/Special/Chew Gum,TOOTH INJURY
marengo fresh red peppers, Vegetables/Vegetable Products,"MALAISE, DISCOMFORT, BLOOD PRESSURE INCREASED, BLOOD PRESSURE FLUCTUATION, ABDOMINAL PAIN, ABDOMINAL DISTENSION, ABDOMINAL DISCOMFORT, DIARRHOEA, BLOOD PRESSURE INCREASED, BLOOD PRESSURE FLUCTUATION"
margaret holmes cajun green boiled peanuts, Nuts/Edible Seed,VOMITING
margaret holmes collard greens  seasoned, Vegetables/Vegetable Products,HAEMATOCHEZIA
margaret holmes fancy spinach, Vegetables/Vegetable Products,"NAUSEA, DIARRHOEA, NAUSEA, DIARRHOEA, NAUSEA, DIARRHOEA, VOMITING, NAUSEA"
margaret holmes green boiled peanuts, Nuts/Edible Seed,"VOMITING, DIARRHOEA, DIARRHOEA"
margaret holmes italian green beans, Vegetables/Vegetable Products,"MALAISE, DIARRHOEA, PNEUMONIA, MALAISE, DIARRHOEA, MALAISE"
margaret holmes mixed greens, Vegetables/Vegetable Products,NAUSEA
margaret holmes peanut patch, Nuts/Edible Seed,VOMITING
margaret holmes peanut patch boiled peanuts, Nuts/Edible Seed,"VOMITING, ABDOMINAL PAIN"
margaret holmes peanut patch green boiled peanuts, Nuts/Edible Seed,"NAUSEA, ABDOMINAL DISCOMFORT, VOMITING, NAUSEA, NAUSEA"
margaret holmes peanut patch green boileed peanuts, Nuts/Edible Seed,BURNING SENSATION
margaret holmes peanut patch jumbo green boiled peanuts, Nuts/Edible Seed,"VOMITING, MALAISE"
margaret holmes seasoned collard greens, Vegetables/Vegetable Products,"VOMITING, NAUSEA, HEADACHE, FEELING OF BODY TEMPERATURE CHANGE, DIZZINESS, BODY TEMPERATURE INCREASED, NAUSEA, ABDOMINAL PAIN"
margaret holmes seasoned italian beans, Vegetables/Vegetable Products,"LOCAL SWELLING, GINGIVAL DISORDER, ABDOMINAL PAIN, MALAISE"
margaret holmes seasoned mixed greens, Vegetables/Vegetable Products,"STRESS, DIARRHOEA, BLOOD PRESSURE INCREASED, BLOOD PRESSURE FLUCTUATION, ABDOMINAL PAIN, DIARRHOEA, DIARRHOEA, DIARRHOEA"
margaret holmes spinach, Vegetables/Vegetable Products,"DYSPEPSIA, DYSPEPSIA, DYSPEPSIA"
margaret holmes tender yellow cut squash, Vegetables/Vegetable Products,"LETHARGY, FEELING OF BODY TEMPERATURE CHANGE, FEELING COLD, DIARRHOEA, CHILLS, ABDOMINAL PAIN"
margarine, Milk/Butter/Dried Milk Prod,LACERATION
margaritaville captains calamari rings with dippin sauce, Fishery/Seafood Prod,"VOMITING, NAUSEA, DIARRHOEA, ABDOMINAL PAIN"
margiet holmes canned mustard greens, Vegetables/Vegetable Products,LACERATION
mariani crystallized ginger, Vegetables/Vegetable Products,"NAUSEA, DIARRHOEA, COELIAC DISEASE"
mariani dried apricots, Fruit/Fruit Prod,"ORAL DISCOMFORT, HEADACHE"
mariani dried fruit, Fruit/Fruit Prod,"VOMITING, DIARRHOEA, BACTERIAL INFECTION"
mariani organic sun dried malatya apricots, Fruit/Fruit Prod,"Pain, Diarrhoea, Abdominal distension"
mariani premium ultimate dried apricots, Fruit/Fruit Prod,"NAUSEA, DIARRHOEA, ABDOMINAL PAIN, ABDOMINAL PAIN"
mariani shelled walnuts, Nuts/Edible Seed,"DYSGEUSIA, ABDOMINAL PAIN"
mariani sliced almonds, Nuts/Edible Seed,"VOMITING, DIARRHOEA"
mariani whole almonds, Nuts/Edible Seed,"MALAISE, HEADACHE, ASTHENIA"
marianos banana, Fruit/Fruit Prod,MALAISE
marie calendar marie calendar salusberry steak, Mult Food Dinner/Grav/Sauce/Special,"TOOTH INJURY, TOOTH FRACTURE"
marie callender chicken pot pie, Mult Food Dinner/Grav/Sauce/Special,"DIARRHOEA, ABDOMINAL PAIN"
marie callenders apple lattice pie, Bakery Prod/Dough/Mix/Icing,"NAUSEA, ABDOMINAL PAIN"
marie callenders banana cream pie frozen, Bakery Prod/Dough/Mix/Icing,CHOKING
marie callenders blackberry cobbler, Bakery Prod/Dough/Mix/Icing,CHOKING
marie callenders chicken pot pie," Meat, Meat Products and Poultry",Gingival injury
marie callenders croutons herb season, Bakery Prod/Dough/Mix/Icing,MOUTH INJURY
marie callenders frozen creamy mushroom chicken pot pie, Mult Food Dinner/Grav/Sauce/Special,"VOMITING, NAUSEA, ABDOMINAL PAIN"
marie callenders frozen pot pie, Mult Food Dinner/Grav/Sauce/Special,FOOD POISONING
marie callenders golden battered fish fillet frozen meal, Fishery/Seafood Prod,"VOMITING, RENAL IMPAIRMENT, NAUSEA, NAUSEA, MALAISE, GASTROINTESTINAL DISORDER, DIARRHOEA"
marie callenders old fashioned turkey and stuffing steamer meals, Mult Food Dinner/Grav/Sauce/Special,"TOOTH INJURY, MOUTH INJURY, INFECTION"
marie callenders original corn bread, Bakery Prod/Dough/Mix/Icing,"PHARYNGITIS, DYSPEPSIA, DYSGEUSIA, PHARYNGITIS, DYSGEUSIA"
marie callenders razzleberry pie, Bakery Prod/Dough/Mix/Icing,"OROPHARYNGEAL PAIN, FOREIGN BODY TRAUMA, THROAT IRRITATION, OROPHARYNGEAL PAIN, COUGH, CHOKING"
marie callenders razzleberry pie frozen, Bakery Prod/Dough/Mix/Icing,CHOKING
maries 1000 island dressing, Dressing/Condiment,"VOMITING, GASTROENTERITIS SALMONELLA, DIARRHOEA"
maries chunky bleu cheese dressing, Dressing/Condiment,"TONGUE HAEMORRHAGE, MOUTH INJURY, LACERATION"
maries lite chunky bleu cheese dressing, Dressing/Condiment,"VOMITING, DIARRHOEA, CHILLS, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN"
mariettas chocolate creme cookies, Bakery Prod/Dough/Mix/Icing,"TONGUE DISORDER, TONGUE DISCOLOURATION, GLOSSODYNIA, DIARRHOEA, CONSTIPATION, CHANGE OF BOWEL HABIT, ABDOMINAL PAIN"
marilyn kefir kefir grains goat, Milk/Butter/Dried Milk Prod,"VAGINAL SWELLING, VAGINAL HAEMORRHAGE, VAGINAL HAEMORRHAGE, VAGINAL DISCHARGE, RASH PUSTULAR, RASH, LOCALISED OEDEMA, HERPES ZOSTER, GASTROINTESTINAL INFLAMMATION, GASTROINTESTINAL DISORDER, FLATULENCE, DIARRHOEA, ABDOMINAL PAIN, ABDOMINAL DISTENSION, ABDOMINAL DISCOMFORT"
marinated burgundy olive, Fruit/Fruit Prod,"VOMITING, IMPAIRED WORK ABILITY, FEELING OF BODY TEMPERATURE CHANGE, DIZZINESS, DIARRHOEA, DIARRHOEA, COORDINATION ABNORMAL, CHILLS, ABASIA"
marinated steaks," Meat, Meat Products and Poultry","PARAESTHESIA, HEADACHE, FOOD POISONING, DIARRHOEA, ABDOMINAL PAIN"
market basket 1percent milk, Milk/Butter/Dried Milk Prod,"NAUSEA, BURNING SENSATION"
market basket 2 reduced fat milk, Milk/Butter/Dried Milk Prod,"Vomiting, Diarrhoea"
market basket bavarian creme peanut butter, Bakery Prod/Dough/Mix/Icing,MALAISE
market basket beef loin choice sirloin tips," Meat, Meat Products and Poultry","VOMITING, NAUSEA, VOMITING, VOMITING, VOMITING, VOMITING, NAUSEA"
market basket brand diet cream soda, Soft Drink/Water,"VOMITING, RETCHING, RENAL DISORDER, NAUSEA, MYALGIA, LETHARGY"
market basket branded frozen vegetable stir fry mix, Vegetables/Vegetable Products,"VOMITING, PYREXIA, MUSCLE SPASMS, DIARRHOEA, CHILLS"
market basket cinnamon and spice instant oatmeal, Cereal Prep/Breakfast Food,DIARRHOEA
market basket corn cobs, Vegetables/Vegetable Products,"VOMITING, NAUSEA, VOMITING, VOMITING, NAUSEA, VOMITING, VOMITING"
market basket corn flakes cereal, Cereal Prep/Breakfast Food,VOMITING
market basket fancy sliced carrots, Vegetables/Vegetable Products,LACERATION
market basket grade a fancy frozen cut corn, Vegetables/Vegetable Products,"VOMITING, VENOUS PRESSURE JUGULAR INCREASED, PAIN IN EXTREMITY, PAIN IN EXTREMITY, LISTERIOSIS, FLATULENCE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, ABDOMINAL PAIN, VENOUS PRESSURE JUGULAR INCREASED, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, ABDOMINAL PAIN"
market basket hearty nut bread, Bakery Prod/Dough/Mix/Icing,"DIARRHOEA, DIARRHOEA"
market basket light cream quart container, Milk/Butter/Dried Milk Prod,DIZZINESS
market basket lobsters, Fishery/Seafood Prod,ABDOMINAL PAIN UPPER
market basket mayonaisse, Dressing/Condiment,"THROAT TIGHTNESS, APHONIA"
market basket morebar, Nuts/Edible Seed,"INJURY, HYPERSENSITIVITY"
market basket premium 100 percent orange juice original, Fruit/Fruit Prod,"VOMITING, DIARRHOEA"
market basket solid white albacore in water, Fishery/Seafood Prod,"VERTIGO, NAUSEA, HEADACHE, DIZZINESS, VERTIGO, TREMOR, TREMOR, HEADACHE"
market basket tomato ketchup glutenfree, Dressing/Condiment,"DIARRHOEA, DIARRHOEA, VOMITING, DIARRHOEA, DIARRHOEA, VOMITING, DIARRHOEA, VOMITING, URTICARIA, DIARRHOEA"
market classics favorites swedish red berries, Fruit/Fruit Prod,"SWELLING, PRURITUS, HYPERSENSITIVITY, EMERGENCY CARE EXAMINATION"
market fare deli pride barbeque rib sandwich, Mult Food Dinner/Grav/Sauce/Special,"VOMITING, NAUSEA, DIARRHOEA"
market pantry  cashew nuts halves  pieces, Nuts/Edible Seed,"URTICARIA, LOCALISED OEDEMA"
market pantry 2percent milk, Milk/Butter/Dried Milk Prod,"LETHARGY, ABDOMINAL PAIN"
market pantry alphabet and number crackers chocolate, Bakery Prod/Dough/Mix/Icing,"ORAL DISCOMFORT, DYSPHAGIA, BLISTER"
market pantry apple juice, Fruit/Fruit Prod,"PAIN, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN UPPER"
market pantry cashew nuts halves  pieces, Nuts/Edible Seed,"ABDOMINAL PAIN, VOMITING, URTICARIA, LOCALISED OEDEMA, DIARRHOEA"
market pantry chewy peanut butter chocolate chip granola bars, Cereal Prep/Breakfast Food,"NAUSEA, FATIGUE, DIARRHOEA"
market pantry chicken nuggets," Meat, Meat Products and Poultry","Vomiting, Vomiting"
market pantry dry roasted lightly salted peanuts, Nuts/Edible Seed,CHOKING
market pantry fruit snacks, Candy W/O Choc/Special/Chew Gum,"VOMITING, VIRAL INFECTION, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA"
market pantry generic maple syrup, Food Sweeteners (Nutritive),"VOMITING, NAUSEA, DIARRHOEA, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN, VOMITING, PYREXIA, NAUSEA, DIARRHOEA, ABDOMINAL PAIN, GASTROENTERITIS SALMONELLA"
market pantry half and half, Milk/Butter/Dried Milk Prod,DIARRHOEA
market pantry instand oatmeal apple and cinnamon variety, Cereal Prep/Breakfast Food,"RHINORRHOEA, RASH, LACRIMATION INCREASED, HYPERSENSITIVITY, ERYTHEMA"
market pantry large fresh eggs, Egg/Egg Prod,"Vomiting, Abdominal pain upper"
market pantry mixed vegetables, Vegetables/Vegetable Products,"DIARRHOEA, ABDOMINAL PAIN"
market pantry peanut butter, Nuts/Edible Seed,"DIARRHOEA, ABDOMINAL PAIN, NAUSEA, MALAISE, DIARRHOEA, ABDOMINAL PAIN UPPER"
market pantry peanut butter on cheese crackers, Bakery Prod/Dough/Mix/Icing,"VOMITING, FEELING OF BODY TEMPERATURE CHANGE, CHILLS"
market pantry peanut butter on toasted crackers, Bakery Prod/Dough/Mix/Icing,"VOMITING, MALAISE, DIARRHOEA"
market pantry pizza blend finely shredded cheese, Cheese/Cheese Prod,"Diarrhoea, Abdominal pain, Diarrhoea, Abdominal pain"
market pantry prepared tuna salad, Fishery/Seafood Prod,"NAUSEA, DIARRHOEA"
market pantry punch flavored 100 juice, Soft Drink/Water,"LETHARGY, HEADACHE, APPETITE DISORDER, ABDOMINAL PAIN"
market pantry purified drinking water enhanced with minerals for taste, Soft Drink/Water,"MALAISE, DIARRHOEA, MALAISE, DIARRHOEA"
market pantry purified water, Soft Drink/Water,"PARAESTHESIA, HYPOAESTHESIA ORAL, HYPOAESTHESIA ORAL, GASTRIC DISORDER, FLATULENCE, ERUCTATION, DYSGEUSIA, DIARRHOEA, COUGH, ABDOMINAL PAIN, ABDOMINAL DISTENSION"
market pantry sandwich bread wheat sliced, Bakery Prod/Dough/Mix/Icing,"THROAT IRRITATION, ABDOMINAL PAIN"
market pantry smores ice cream, Ice Cream Prod,"THROAT IRRITATION, PARAESTHESIA, HYPERSENSITIVITY, DYSPNOEA"
market pantry target frozen spinach, Vegetables/Vegetable Products,"VOMITING, NAUSEA, HEADACHE, FATIGUE, DYSPEPSIA, DIARRHOEA, ABDOMINAL PAIN"
market pantry targets brand chocolate covered peanuts, Choc/Cocoa Prod,"URTICARIA, RASH, DYSPNOEA, ANAPHYLACTIC REACTION"
market pantry tuna salad, Fishery/Seafood Prod,"HEADACHE, DIARRHOEA"
market pantry tuna salad, Prep Salad Prod,"HEADACHE, DIARRHOEA"
market pantry valentines fruit snacks cherry  strawberry  grape, Candy W/O Choc/Special/Chew Gum,"THROAT TIGHTNESS, PHARYNGITIS, HYPOAESTHESIA ORAL, DYSPNOEA, DYSGEUSIA"
market pantry vanilla cream natural whole grain cereal, Cereal Prep/Breakfast Food,"HYPERSENSITIVITY, HELICOBACTER INFECTION, ABDOMINAL PAIN"
market pantry water, Soft Drink/Water,"NAUSEA, ABDOMINAL PAIN UPPER"
market pantry whole milk, Milk/Butter/Dried Milk Prod,"VOMITING, MUSCULOSKELETAL CHEST PAIN, DIARRHOEA, DECREASED APPETITE, BALANCE DISORDER, ABDOMINAL PAIN, ABDOMINAL PAIN UPPER, VOMITING, DIARRHOEA, BODY TEMPERATURE INCREASED, VOMITING, DIARRHOEA, BODY TEMPERATURE INCREASED"
market pantry yogurt covered chewy granola bars, Snack Food Item,"HYPERSENSITIVITY, DIZZINESS, DIZZINESS"
market place refigerated snow peas, Vegetables/Vegetable Products,"SALIVARY GLAND DISORDER, NAUSEA, ASTHENIA"
market place shell eggs, Egg/Egg Prod,"DIARRHOEA, ABDOMINAL DISTENSION, ABDOMINAL DISTENSION"
market select bagged salad, Vegetables/Vegetable Products,"VOMITING, NAUSEA, HEADACHE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA"
market side chopped romaine, Vegetables/Vegetable Products,"Pyrexia, Pain, Nausea, Malaise, Diarrhoea, Abdominal pain upper"
market side cole slaw  tri color, Prep Salad Prod,"VOMITING, NAUSEA, MALAISE, GASTROINTESTINAL DISORDER, DIARRHOEA, VOMITING, NAUSEA, MALAISE, GASTROINTESTINAL DISORDER, DIARRHOEA"
market side premium romaine  salad, Prep Salad Prod,"VOMITING, THIRST, ESCHERICHIA INFECTION, DIARRHOEA, DEHYDRATION"
market side spring mix salad romaine, Vegetables/Vegetable Products,"MALAISE, HANTAVIRUS PULMONARY INFECTION, FEELING OF BODY TEMPERATURE CHANGE"
market side walmart bacon caesar salad kit, Vegetables/Vegetable Products,"VOMITING, DIARRHOEA"
market spice orange cinnamon tea, Coffee/Tea,"SKIN DISCOLOURATION, GENERALISED ERYTHEMA, BURNING SENSATION"
market stand mango habanero fresh pack pickle chips, Vegetables/Vegetable Products,"VOMITING, MALAISE, DIARRHOEA, VOMITING, MALAISE, DIARRHOEA"
marketplace pizza 11, Bakery Prod/Dough/Mix/Icing,"VOMITING, PYREXIA, FATIGUE, DIARRHOEA, DECREASED APPETITE, ABDOMINAL PAIN, VOMITING, PYREXIA, FATIGUE, DIARRHOEA, DECREASED APPETITE, ABDOMINAL PAIN"
marketside 3 olive hummus, Vegetables/Vegetable Products,"URTICARIA, THROAT TIGHTNESS, LOCALISED OEDEMA, DYSPNOEA, DYSPHAGIA, ANAPHYLACTIC REACTION"
marketside angel hair cole slaw green cabbage, Vegetables/Vegetable Products,"Skin reaction, Pruritus, Pain, Erythema"
marketside arubula and spinach mix, Vegetables/Vegetable Products,"VOMITING, DIARRHOEA, VOMITING, DIARRHOEA, ABDOMINAL PAIN"
